site,site_id,sample,sample2,sample_no,actual_depth
Goose_E,GE,Deep_1,Deep,9,-1.18
Goose_E,GE,Deep_2,Deep,4,-1.28
Goose_E,GE,Deep_3,Deep,6,-1.38
Goose_E,GE,Mid_1,Mid,1,-1.38
Goose_E,GE,Mid_2,Mid,8,-1.38
Goose_E,GE,Mid_3,Mid,7,-1.38
Goose_E,GE,Shallow_1,Shallow,10,-1.58
Goose_E,GE,Shallow_2,Shallow,12,-1.48
Goose_E,GE,Shallow_3,Shallow,11,-1.08
Goose_W,GW,Deep_1,Deep,7,0.7
Goose_W,GW,Deep_2,Deep,6,0.1
Goose_W,GW,Deep_3,Deep,5,0.5
Goose_W,GW,Mid_1,Mid,2,0.9
Goose_W,GW,Mid_2,Mid,3,0.4
Goose_W,GW,Mid_3,Mid,13,0.8
Goose_W,GW,Shallow_1,Shallow,10,1.4
Goose_W,GW,Shallow_2,Shallow,4,1.1
Goose_W,GW,Shallow_3,Shallow,11,0.7
L_Choked,LC,Deep_1,Deep,12,0.29
L_Choked,LC,Deep_2,Deep,13,0.99
L_Choked,LC,Deep_3,Deep,4,0.79
L_Choked,LC,Mid_1,Mid,11,0.59
L_Choked,LC,Mid_2,Mid,2,0.89
L_Choked,LC,Mid_3,Mid,9,0.49
L_Choked,LC,Shallow_1,Shallow,1,0.69
L_Choked,LC,Shallow_2,Shallow,10,1.19
L_Choked,LC,Shallow_3,Shallow,6,0.69
McMullin_N,MN,Deep_1,Deep,12,-1.73
McMullin_N,MN,Deep_2,Deep,11,-1.63
McMullin_N,MN,Deep_3,Deep,3,-1.03
McMullin_N,MN,Mid_1,Mid,6,-0.93
McMullin_N,MN,Mid_2,Mid,8,-1.23
McMullin_N,MN,Mid_3,Mid,10,-0.93
McMullin_N,MN,Shallow_1,Shallow,9,-0.43
McMullin_N,MN,Shallow_2,Shallow,4,-0.33
McMullin_N,MN,Shallow_3,Shallow,7,0.57
McMullin_S,MS,Deep_1,Deep,10,0
McMullin_S,MS,Deep_2,Deep,7,-0.3
McMullin_S,MS,Deep_3,Deep,8,-0.9
McMullin_S,MS,Mid_1,Mid,2,0.2
McMullin_S,MS,Mid_2,Mid,4,-0.3
McMullin_S,MS,Mid_3,Mid,3,-0.9
McMullin_S,MS,Shallow_1,Shallow,12,0.2
McMullin_S,MS,Shallow_2,Shallow,6,-0.6
McMullin_S,MS,Shallow_3,Shallow,5,-0.9
N_Triquet,NT,Deep_1,Deep,12,-2.9
N_Triquet,NT,Deep_2,Deep,10,-2
N_Triquet,NT,Deep_3,Deep,13,-1.3
N_Triquet,NT,Mid_1,Mid,4,-1.6
N_Triquet,NT,Mid_2,Mid,6,-1.6
N_Triquet,NT,Mid_3,Mid,7,-0.7
N_Triquet,NT,Shallow_1,Shallow,9,-1.2
N_Triquet,NT,Shallow_2,Shallow,5,-1.3
N_Triquet,NT,Shallow_3,Shallow,2,-0.4
Sandspit,SC,Deep_1,Deep,1,-0.05
Sandspit,SC,Deep_2,Deep,11,0.05
Sandspit,SC,Deep_3,Deep,NA,-0.65
Sandspit,SC,Mid_1,Mid,9,-0.25
Sandspit,SC,Mid_2,Mid,13,0.15
Sandspit,SC,Mid_3,Mid,7,-0.45
Sandspit,SC,Shallow_1,Shallow,6,-0.05
Sandspit,SC,Shallow_2,Shallow,8,0.05
Sandspit,SC,Shallow_3,Shallow,10,0.15
Triquet_Bay,TB,Deep_1,Deep,1,1.6
Triquet_Bay,TB,Deep_2,Deep,4,1.6
Triquet_Bay,TB,Deep_3,Deep,5,1.6
Triquet_Bay,TB,Mid_1,Mid,11,2
Triquet_Bay,TB,Mid_2,Mid,2,2
Triquet_Bay,TB,Mid_3,Mid,12,2.2
Triquet_Bay,TB,Shallow_1,Shallow,9,2.1
Triquet_Bay,TB,Shallow_2,Shallow,8,2.5
Triquet_Bay,TB,Shallow_3,Shallow,3,2.5
