site,site_id,region,sample_id,species_id,sample_no,foil_wgt_mg,wet_wgt_mg,dry_wgt_mg,final_dry_wgt,abundance
Choked_Sandspit,CS,Choked,EPI_02_Worms,Worm,2,212.1,373.7,350.2,138.1,4
Choked_Sandspit,CS,Choked,EPI_02_Snails,Snail,2,250.2,505.9,372.5,122.3,12
Choked_Sandspit,CS,Choked,EPI_02_Amphi,Amphi,2,212.4,400,270.4,58,23
Choked_Sandspit,CS,Choked,EPI_02_Eggs,Eggs,2,235.1,470.6,415.7,180.6,13
Choked_Sandspit,CS,Choked,EPI_06_Iso,Iso,6,212.7,228.1,225.7,13,1
Choked_Sandspit,CS,Choked,EPI_06_Snails,Snail,6,220.8,320.8,274.8,54,9
Choked_Sandspit,CS,Choked,EPI_06_Eggs,Egg,6,223.5,225.9,224.8,1.3,1
Choked_Sandspit,CS,Choked,EPI_06_Amphi,Amphi,6,160.3,161.6,161.2,0.9,1
Choked_Sandspit,CS,Choked,EPI_05_Iso,Iso,5,239,279.2,247.3,8.3,3
Choked_Sandspit,CS,Choked,EPI_05_Amphi,Amphi,5,194,221.9,200,6,5
Choked_Sandspit,CS,Choked,EPI_05_Snails,Snail,5,167,231.9,197.7,30.7,3
Choked_Sandspit,CS,Choked,EPI_04_Snails,Snail,4,194.4,237.2,214.5,20.1,2
Choked_Sandspit,CS,Choked,EPI_04_Eggs,Eggs,4,194.2,244,199.8,5.6,2
Choked_Sandspit,CS,Choked,EPI_04_Iso,Iso ,4,220.2,255.7,232.4,12.2,2
Goose_West,GW,Goose,EPI_09_Worm,Worm,9,227.9,229.7,229.5,1.6,1
Goose_West,GW,Goose,EPI_02_Worm,Worm,2,224.4,228.3,225.1,0.7,2
Goose_West,GW,Goose,EPI_02_Snails,Snail,2,215.9,239.2,222,6.1,10
Goose_West,GW,Goose,EPI_07_Snails,Snail,7,217.6,217.9,217.8,0.2,1
Goose_West,GW,Goose,EPI_01_Snails,Snail,1,307.5,315.6,311.4,3.9,6
Goose_West,GW,Goose,EPI_04_Snails,Snail,4,185.8,235.7,210,24.2,25
Goose_West,GW,Goose,EPI_04_Worms,Worm,4,195,200,195.6,0.6,2
Triquet_Bay,TB,Triquet,EPI_08_Cap,Cap,8,215.6,231.2,218.3,2.7,1
Triquet_Bay,TB,Triquet,EPI_01_Worm,Worm,1,239.9,250.2,241,1.1,1
Triquet_Bay,TB,Triquet,EPI_01_Cap,Cap,1,233,321.3,257.9,24.9,4
Triquet_Bay,TB,Triquet,EPI_03_Iso,Iso,3,203.9,204.7,204.5,0.6,1
Triquet_Bay,TB,Triquet,EPI_03_Worm,Worm,3,151.6,154.1,150.9,-0.7,1
McMullin_South,MS,McMullin,EPI_03_Cap,Cap,3,217.3,340.3,242.9,25.6,16
McMullin_South,MS,McMullin,EPI_03_Ascdian,Phylla_eggs,3,196,688.9,548.1,352.1,4
McMullin_South,MS,McMullin,EPI_03_Worm_tube,Worm_tube,3,205.7,429.2,363.1,157.4,1
McMullin_South,MS,McMullin,EPI_03_Amphi,Amphi,3,241.9,244.8,241.8,-0.1,1
McMullin_South,MS,McMullin,EPI_01_Ascidian,Phylla_eggs,1,246.9,727.8,542,295.1,4
McMullin_South,MS,McMullin,EPI_01_Cap,Cap,1,207.6,232.9,211.2,3.6,1
McMullin_South,MS,McMullin,EPI_09_Cap,Cap,9,247.5,248.3,248.2,0.7,1
McMullin_South,MS,McMullin,EPI_09_Ascidian,Phylla_eggs,9,244.4,723.5,310.2,65.8,4
McMullin_South,MS,McMullin,EPI_06_Ascidian,Phylla_eggs,6,231,764,293.7,62.7,3
McMullin_South,MS,McMullin,EPI_06_Cap,Cap,6,242.4,270.3,250.8,8.4,6
McMullin_South,MS,McMullin,EPI_06_Iso,Iso,6,268.7,273.5,271.7,3,1
McMullin_South,MS,McMullin,EPI_04_Amphi,Amphi,4,260.4,262.8,263,2.6,2
McMullin_South,MS,McMullin,EPI_04_Iso,Iso,4,214.6,214.3,215.2,0.6,1
McMullin_South,MS,McMullin,EPI_04_Ascidian,Phylla_eggs,4,271.3,420.9,289.1,17.8,4
McMullin_South,MS,McMullin,EPI_04_Cap,Cap,4,245.6,261.5,256.2,10.6,8
McMullin_South,MS,McMullin,EPI_04_Worm_tube,Worm_tube,4,227.6,249.7,244.8,17.2,1
Choked_Lower,CL,Choked,EPI_05_Cap,Cap,5,345.1,558.6,371.6,26.5,14
Choked_Lower,CL,Choked,EPI_05_Amphi,Amphi,5,238.1,297.7,245.5,7.4,11
Choked_Lower,CL,Choked,EPI_05_Worm,Worm,5,252.2,398.8,316.2,64,4
Choked_Lower,CL,Choked,EPI_05_Bryo,Bryo,5,224.9,332.8,234.4,9.5,5
Choked_Lower,CL,Choked,EPI_05_Iso,Iso,5,265.9,378.3,284.9,19,3
