date,site,site_id,site_no,sample_loc,sample_loc2,sample_no,id,length_cm,width_cm,foil_wgt_kg,wet_wgt_kg,final_wet_wgt,dry_wgt_kg,density,leaf_area_index,plot_SA,bio_den
Jul-31-2014,Goose_E,GE,6,D1,Deep,7,zostera,172,0.6,0.0029,0.0107,0.0078,,13,103.2,1341.6,0.1014
Jul-31-2014,Goose_E,GE,6,D2,Deep,1,zostera,,,,,,,12,,,
Jul-31-2014,Goose_E,GE,6,D3,Deep,2,zostera,,,,,,,12,,,
Jul-31-2014,Goose_E,GE,6,M1,Mid,8,zostera,,,,,,,9,,,
Jul-31-2014,Goose_E,GE,6,M2,Mid,9,zostera,,,,,,,11,,,
Jul-31-2014,Goose_E,GE,6,M3,Mid,6,zostera,,,,,,,14,,,
Jul-31-2014,Goose_E,GE,6,S1,Shallow,4,zostera,,,,,,,9,,,
Jul-31-2014,Goose_E,GE,6,S2,Shallow,5,zostera,154.2,0.6,0.0034,0.0157,0.0123,,4,92.52,370.08,0.0492
Jul-31-2014,Goose_E,GE,6,S3,Shallow,NA,zostera,,,,,,,10,,,
Jul-11-2014,Goose_W,GW,5,D1,Deep,7,zostera,157,0.3,0.0033,0.0083,0.005,,13,47.1,612.3,0.065
Jul-11-2014,Goose_W,GW,5,D2,Deep,6,zostera,NA,NA,NA,NA,NA,NA,21,NA,NA,NA
Jul-11-2014,Goose_W,GW,5,D3,Deep,3,zostera,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
Jul-11-2014,Goose_W,GW,5,M1,Mid,8,zostera,128,0.3,0.0029,0.0131,0.0102,,12,38.4,460.8,0.1224
Jul-11-2014,Goose_W,GW,5,M2,Mid,5,zostera,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
Jul-11-2014,Goose_W,GW,5,M3,Mid,2,zostera,191,0.8,0.0029,0.0188,0.0159,,24,152.8,3667.2,0.3816
Jul-11-2014,Goose_W,GW,5,S1,Shallow,9,zostera,159,0.4,0.0011,0.0062,0.0051,,19,63.6,1208.4,0.0969
Jul-11-2014,Goose_W,GW,5,S2,Shallow,4,zostera,79,0.4,0.0021,0.0041,0.002,,24,31.6,758.4,0.048
Jul-11-2014,Goose_W,GW,5,S3,Shallow,1,zostera,125,0.25,0.0031,0.01,0.0069,,20,31.25,625,0.138
Jul-29-2014,L_Choked,LC,1,D1,Deep,8,zostera,180.4,1.2,0.0033,0.0312,0.0279,,NA,216.48,NA,NA
Jul-29-2014,L_Choked,LC,1,D2,Deep,1,zostera,,,,,,,NA,,NA,NA
Jul-29-2014,L_Choked,LC,1,D3,Deep,5,zostera,154.4,1.1,0.0028,0.0185,0.0157,,NA,169.84,NA,NA
Jul-29-2014,L_Choked,LC,1,M1,Mid,3,zostera,275.2,0.8,0.0013,0.0148,0.0135,,NA,220.16,NA,NA
Jul-29-2014,L_Choked,LC,1,M2,Mid,7,zostera,132.1,1.1,0.0019,0.0445,0.0426,,NA,145.31,NA,NA
Jul-29-2014,L_Choked,LC,1,M3,Mid,9,zostera,155.6,1.4,0.0032,0.0256,0.0224,,NA,217.84,NA,NA
Jul-29-2014,L_Choked,LC,1,S1,Shallow,2,zostera,210,1.5,0.0035,0.0228,0.0193,,NA,315,NA,NA
Jul-29-2014,L_Choked,LC,1,S2,Shallow,6,zostera,238,1,0.0016,0.0262,0.0246,,NA,238,NA,NA
Jul-29-2014,L_Choked,LC,1,S3,Shallow,4,zostera,88,0.8,0.0029,0.0094,0.0065,,NA,70.4,NA,NA
Aug-02-2014,McMullin_N,MN,8,D1,Deep,2,zostera,193.2,0.9,0.0021,0.0239,0.0218,,5,173.88,869.4,0.109
Aug-02-2014,McMullin_N,MN,8,D2,Deep,9,zostera,184,1,0.003,0.0219,0.0189,,2,184,368,0.0378
Aug-02-2014,McMullin_N,MN,8,D3,Deep,1,zostera,155.1,0.8,NA,NA,NA,NA,9,124.08,1116.72,NA
Aug-02-2014,McMullin_N,MN,8,M1,Mid,3,zostera,195.1,0.9,0.0023,0.0184,0.0161,,8,175.59,1404.72,0.1288
Aug-02-2014,McMullin_N,MN,8,M2,Mid,6,zostera,147.8,0.7,0.002,0.0097,0.0077,,8,103.46,827.68,0.0616
