year,date,site,site_id,region,otter_dens,label,sample_no,mult_sample_no,sample_id,species_id,foil_wgt_kg,wet_wgt_kg,final_wet_wgt_kg,dry_wgt_kg,final_dry_wgt_kg
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_ZM,13,,Seagrass ,Zostera_marina,0.0057,0.0762,0.0705,0.0164,0.0107
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_EPI,13,,Epiphyte,Smithora,NA,NA,NA,NA,NA
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_ZM,10,,Seagrass,Zostera_marina,0.0059,0.1179,0.112,0.0178,0.0119
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_EPI,10,,Epiphyte,Smithora,NA,NA,NA,NA,NA
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_ZM,7,,Seagrass,Zostera_marina,0.006,0.0873,0.0813,0.0152,0.0092
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_EPI,7,,Epiphyte,Smithora,NA,NA,NA,NA,NA
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_ZM,5,,Seagrass,Zostera_marina,0.0064,0.0909,0.0845,0.0147,0.0083
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_DES,5,,Macroalgae,Desmerestia,0.0067,0.1804,0.1737,0.0162,0.0095
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_ZM,NA,,Seagrass,Zostera_marina,0.005,NA,NA,0.0177,0.0127
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_EPI,NA,,Epiphyte,Smithora,0.0015,NA,NA,NA,NA
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_DSI,NA,,Macroalgae,Desmerestia,0.0029,NA,NA,NA,NA
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_ZM,9,,Seagrass,Zostera_marina,0.0057,0.1096,0.1039,0.0171,0.0114
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_EPI,9,,Epiphyte,Smithora,0.0018,NA,NA,0.0032,0.0014
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_DES,9,,Macroalgae,Desmerestia,0.0038,0.0572,0.0534,0.0066,0.0028
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_ZM,8,,Seagrass,Zostera_marina,0.006,NA,NA,0.0138,0.0078
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_ZM,11,,Seagrass,Zostera_marina,0.0056,0.0499,0.0443,0.0123,0.0067
2014,July-09-2014,Choked_Sandspit,CS,Choked,Low,SEA_BIO_SMITH,11,,Epiphyte,Smithora,0.0015,0.0198,0.0183,0.0032,0.0017
