year,date,site,site_id,region,otter_dens,label,sample_id,species_id,dom_epi,sec_epi,sample_no,length_cm,broken,width_cm ,foil_wgt_kg,wet_wgt_kg,dry_wgt_kg,final_dry_wgt_kg,notes
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_07_ZM,Seagrass,Zostera marina,,,7,187,0,0.8,0.0014,0.026,0.0042,0.0028,leaf area index = length*width
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_07_Smith,Epiphyte,Smithora,Smith,NA,7,,,,0.0015,0.0191,0.0033,0.0018,plot sa approx = density*LAI
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_08_ZM,Seagrass,Zostera marina,,,8,,,,0.0021,NA,0.0038,0.0017,added in
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_09_ZM,Seagrass,Zostera marina,,,9,161,1,1,0.0014,0.0171,0.02,0.0186,
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_09_Smith,Epiphyte,Smithora,Smith,NA,9,,,,0.0014,0.0183,0.0026,0.0012,
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_03_ZM,Seagrass,Zostera marina,,,3,144,0,1,0.002,0.0249,0.0048,0.0028,
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_03_Smith,Epiphyte,Smithora,Smith,NA,3,,,,0.0015,0.0204,0.0029,0.0014,
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_06_ZM,Seagrass,Zostera marina,,,6,160,0,0.8,0.0019,0.0169,0.0036,0.0017,
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_06_Smith,Epiphyte,Smithora,Smith,NA,6,,,,0.0016,0.0122,0.0028,0.0012,
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_02_ZM,Seagrass,Zostera marina,,,2,192,0,1,0.0013,0.0245,0.0042,0.0029,
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_02_Smith,Epiphyte,Smithora,Smith,NA,2,,,,0.0015,0.0183,0.0037,0.0022,
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_05_ZM,Seagrass,Zostera marina,,,5,135,1,0.8,0.0015,0.0123,0.0029,0.0014,
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_05_Smith,Epiphyte,Smithora,Smith,NA,5,,,,0.002,0.0167,0.0032,0.0012,
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_04_ZM,Seagrass,Zostera marina,,,4,132,0,0.6,0.0014,0.0075,NA,NA,check hard copy spreadsheet
2014,Jul-09-2014,Choked_Sandspit,CS,Choked,Low,EPI_04_Smith,Epiphyte,Smithora,Smith,NA,4,,,,0.0015,NA,0.0016,0.0001,
2014,Jul-11-2014,Goose_West,GW,Goose,High,EPI_04_ZM,Seagrass,Zostera marina,,,4,79,,0.4,0.0021,0.0041,0.0025,0.0004,
2014,Jul-11-2014,Goose_West,GW,Goose,High,EPI_09_ZM,Seagrass,Zostera marina,,,9,159,,0.4,0.0011,0.0062,0.0021,0.001,
2014,Jul-11-2014,Goose_West,GW,Goose,High,EPI_02_ZM,Seagrass,Zostera marina,,,2,191,,0.8,0.0029,0.0188,0.0053,0.0024,
2014,Jul-11-2014,Goose_West,GW,Goose,High,EPI_07_ZM,Seagrass,Zostera marina,,,7,157,,0.3,0.0033,0.0083,0.004,0.0007,
2014,Jul-11-2014,Goose_West,GW,Goose,High,EPI_01_ZM,Seagrass,Zostera marina,,,1,125,,0.25,0.0031,0.01,0.0042,0.0011,
2014,Jul-11-2014,Goose_West,GW,Goose,High,EPI_08_ZM,Seagrass,Zostera marina,,,8,128,,0.3,0.0029,0.0131,0.0051,0.0022,
2014,Jul-11-2014,Triquet_Bay,TB,Triquet,Low,EPI_09_ZM,Seagrass,Zostera marina,,,9,NA,1,NA,0.0029,0.0098,0.0038,0.0009,
2014,Jul-11-2014,Triquet_Bay,TB,Triquet,Low,EPI_08_ZM,Seagrass,Zostera marina,,,8,100,,0.6,0.0028,0.0107,0.0036,0.0008,
2014,Jul-11-2014,Triquet_Bay,TB,Triquet,Low,EPI_03_ZM,Seagrass,Zostera marina,,,3,162,,0.6,0.003,0.0106,0.0041,0.0011,
2014,Jul-11-2014,Triquet_Bay,TB,Triquet,Low,EPI_01_ZM,Seagrass,Zostera marina,,,1,159,,1,0.007,0.0304,0.0098,0.0028,
2014,Jul-11-2014,Triquet_Bay,TB,Triquet,Low,EPI_07_ZM,Seagrass,Zostera marina,,,7,NA,,NA,0.002,0.0162,0.0038,0.0018,
2014,Jul-11-2014,Triquet_Bay,TB,Triquet,Low,EPI_07_EPI,Epiphyte,Mixed epiphyte,,,7,,,,0.0017,NA,0.0018,0.0001,added in
2014,Jul-13-2014,McMullin_South,MS,McMullin,High,EPI_04_ZM,Seagrass,Zostera marina,,,4,,,,0.0013,NA,0.0048,0.0035,added in 
2014,Jul-13-2014,McMullin_South,MS,McMullin,High,EPI_06_ZM,Seagrass,Zostera marina,,,6,,,,0.0012,NA,0.004,0.0028,added in 
2014,Jul-13-2014,McMullin_South,MS,McMullin,High,EPI_09_ZM,Seagrass,Zostera marina,,,9,,,,0.0013,NA,0.0045,0.0032,added in 
2014,Jul-13-2014,McMullin_South,MS,McMullin,High,EPI_08_ZM,Seagrass,Zostera marina,,,8,180,,1,0.0012,0.024,0.0042,0.003,
2014,Jul-13-2014,McMullin_South,MS,McMullin,High,EPI_01_ZM,Seagrass,Zostera marina,,,1,197,,1,0.0012,0.029,0.0052,0.004,
2014,Jul-13-2014,McMullin_South,MS,McMullin,High,EPI_03_ZM,Seagrass,Zostera marina,,,3,172,,1.1,0.0012,0.0275,0.0053,0.0041,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_05_ZM,Seagrass,Zostera marina,,,5,154.4,,1.1,0.0028,0.0185,0.005,0.0022,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_05_ZM,Seagrass,Zostera marina,,,5,NA,,,0.0026,NA,NA,NA,"add final weight, found this, two samples or redundant with above?"
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_05_Smith,Epiphyte,Smithora,,,5,NA,,NA,0.0032,0.0181,0.004,0.0008,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_05_Smith,Epiphyte,Smithora,,,5,NA,,NA,0.00556,,NA,NA,"add final weight for this package and add to above (verify above package), check hard copy spreadsheet"
