Site,sample.number,platynereis.bicanaliculata,pholoe.tuberculata,exogone.sp.,capitella.capitata,janua.pagastecheri,nematode,pontogeneia.rostrata,lepidepecreum.sp.,photis.brevipes,eogammarus.confervicolus,ampithoe.spp.,aoroides.spp.,monocorophium.acherusicum,caprella.californica,caprella.laeviuscula,caprella.mutica,paracerceis.cordata,idotea.montereynensis,idotea.resecata,cirolana.harfordi,leptochelia.dubia,Harpacticoid.copepod.spp,phyllaplysia.taylori,pycnogonid,red.halacarid.mite,colus.spp.,amphissa.columbiana,calliostoma.spp.,lacuna.vincta,lacuna.variegata,tegula.funebralis,solariella.permablis,bittium.eschrichtii,margarites.helicinus,alia.carinata,haminoaea.spp.,red.striped.snail,lottia.alveus,mytilus.trossulus,nutricola.spp.,balanus.spp.,ostracoda,amphipholis.pugetana,seastar,diadumene.lineata.anemone,pagurus.quaylei,pugettia.spp.,heptacarpus.spp.
choked,1,2,0,0,0,0,0,28,0,26,1,1,0,0,7,0,0,0,0,6,0,1,0,0,0,0,1,0,0,31,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
choked,5,1,0,9,0,0,0,16,0,35,0,0,87,0,51,0,1,0,0,27,0,0,9,0,0,0,0,0,0,116,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
choked,9,0,0,1,0,0,0,72,0,5,0,1,22,0,18,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
choked,10,0,0,0,0,0,0,241,1,3,0,0,56,0,29,0,0,0,0,9,0,0,0,0,0,0,1,0,0,294,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0
choked,11,1,0,0,0,0,0,10,0,7,0,0,15,0,10,0,0,62,0,7,0,3,7,0,0,0,0,0,0,129,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0
choked,13,2,0,0,0,0,0,119,0,0,0,0,88,0,17,0,2,0,0,8,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
choked,6,6,0,0,0,0,0,63,0,11,0,0,26,0,35,0,0,3,0,11,0,1,5,5,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0
choked,7,3,0,1,0,3,0,19,0,13,0,2,42,0,20,0,1,10,0,2,0,13,1,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
choked,8,5,0,0,0,0,0,180,0,0,0,0,37,0,61,0,0,0,0,14,0,0,0,2,0,0,0,0,0,96,5,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0
goose,2,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goose,3,5,0,1,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goose,4,9,0,0,0,9,15,0,0,0,0,0,2,0,26,0,0,0,0,1,0,2,0,0,0,0,2,1,0,47,0,4,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
goose,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goose,6,13,0,3,0,4,0,0,0,8,0,0,1,0,53,0,0,0,0,0,0,13,0,16,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
goose,7,2,1,1,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
goose,10,9,0,0,0,0,3,1,0,0,0,0,1,1,8,0,0,0,0,1,0,2,0,4,0,0,2,0,0,310,0,6,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
goose,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goose,13,2,0,0,2,0,1,0,0,3,0,0,1,0,7,0,0,0,0,1,0,3,0,0,0,0,0,0,0,68,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
goose.east,1,2,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
goose.east,4,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,26,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goose.east,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goose.east,7,2,0,0,1,2,0,1,0,0,0,0,0,0,78,0,0,0,0,0,0,2,0,1,0,0,0,0,0,691,101,107,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0
goose.east,8,0,0,0,0,4,3,3,0,0,0,0,4,0,14,0,0,1,0,0,0,7,0,0,0,0,0,0,0,362,72,80,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0
goose.east,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goose.east,10,0,0,0,0,1,0,0,0,3,0,0,1,0,18,0,0,0,0,1,0,0,0,1,0,0,0,0,0,27,9,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
goose.east,11,1,0,0,0,0,2,0,0,1,0,0,1,0,8,0,0,9,0,0,0,0,1,1,0,0,0,0,0,592,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
goose.east,12,8,0,3,0,3,0,0,0,0,0,1,4,0,38,0,0,0,0,2,1,2,0,4,0,0,0,0,0,545,497,173,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
lower.choked,4,13,0,1,0,0,0,5,1,27,1,3,224,2,140,1,11,6,2,48,0,0,0,1,0,0,0,0,0,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
lower.choked,6,4,0,0,0,0,0,26,0,158,6,0,62,3,98,0,16,0,0,51,0,0,0,1,0,0,0,0,0,206,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0
lower.choked,8,6,0,0,0,0,0,62,4,344,11,1,244,27,321,0,10,0,1,95,0,0,0,2,0,0,0,0,1,314,36,4,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0
lower.choked,11,1,0,4,0,0,0,118,1,450,5,4,137,3,416,0,8,67,0,21,0,0,30,1,0,0,0,0,0,195,6,20,1,0,0,0,0,0,0,38,0,0,0,0,0,1,0,0,0
mcmullin,2,1,0,7,0,0,0,0,0,0,0,0,7,0,1,104,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullin,3,8,0,0,0,0,0,1,0,0,0,0,11,0,5,62,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0
mcmullin,4,4,0,4,0,0,0,0,0,0,0,0,14,0,0,244,0,1,0,1,0,1,2,17,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullin,5,2,0,0,0,0,0,1,0,0,0,0,3,0,0,51,0,0,0,2,0,10,0,0,0,0,0,0,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullin,6,2,0,0,0,0,0,0,0,0,0,1,5,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullin,7,7,0,0,0,0,0,0,0,1,0,0,3,0,0,184,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullin,8,3,0,9,0,0,0,0,0,0,0,0,3,0,1,189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mcmullin,12,1,1,3,0,0,0,0,0,0,0,0,7,0,0,40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullin,3,3,0,0,0,0,0,0,0,43,0,3,14,0,0,1629,0,10,0,0,0,6,8,22,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,11,0,0,3,1,0,0,0,0,0
mcmullin,4,13,0,0,0,0,0,0,0,1,0,0,14,4,0,888,0,5,0,0,0,4,0,197,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
mcmullin.north,6,10,0,1,0,0,0,0,0,0,0,0,7,0,27,683,0,0,0,0,0,0,0,163,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullin.north,7,47,0,1,0,0,0,0,0,6,0,0,12,0,9,722,0,0,0,0,0,2,1,24,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
mcmullin.north,8,25,0,0,0,0,0,0,0,3,0,0,21,0,1,409,0,0,0,0,0,5,2,41,0,0,0,0,0,7,0,0,1,0,5,0,0,0,1,6,0,0,0,0,0,0,0,0,0
