Site,Site_short,Sample,size.class,fish.eggs,polych.tubes,gammarids.sub1mm,unk1.poly,unk2.poly,Platynereis.bicanaliculata,Nereis.sp.,Pholoe.tuberculata,Exogone.sp.,Capitella.capitata,Janua.pagastecheri,Nematode,Pontogeneia.rostrata,Lepidepecreum.sp.,Photis.brevipes,Eogammarus.confervicolus,Ampithoe.spp.,Aoroides.spp.,Monocorophium.acherusicum,Isaeidae,Aoridae,Hyalellidae,Hyalidae,Eusiroidea,Podoceridae,Amphitoidae,Caprella.californica,Caprella.laeviuscula,Caprella.mutica,Paracerceis.cordata,Idotea.montereynensis,Idotea.resecata,Cirolana.harfordi,Pentidotea.wosnesenskii,Leptochelia.dubia,Harpacticoid.copepods,Phyllaplysia.taylori,Pycnogonid,Halacarid.red,Colus.sp.,Amphissa.columbiana,Calliostoma.sp.,Lacuna.vincta,Lacuna.variegata,Tegula.funebralis,Bittium.eschrichtii,Margarites.helicinus,Margarites.pupillus,Alia.carinata,Haminoaea.sp.,Tiny.red.striped.snail,Lottia.alveus.paralella,Nassarius.mendicus,Pectinidae,Mytilus.trossulus,Nutricola.sp.,Balanus.sp.,Ostracoda,Amphipholis.pugetana,Lepasterias.hexactis,Strongylocentrotus.sp.,Sea.anemone,Pagurus.quaylei,Metacarcinus.magister,Pugettia.sp.,Heptacarpus.sp.
mcmullins_north,MMn,a,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
mcmullins_north,MMn,a,5.6,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullins_north,MMn,a,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullins_north,MMn,a,2.8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullins_north,MMn,a,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullins_north,MMn,a,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullins_north,MMn,a,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullins_north,MMn,a,0.71,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullins_north,MMn,a,0.5,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullins_north,MMn,b,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
