Date,Site,Site_ID,Quad_No,Diver,Common,Species,Clam_Length_mm
Jul-29-2014,L_Choked,LC,1,Ondine,Kennerley_venus,Humilaria_kennerleyi,72
Jul-29-2014,L_Choked,LC,1,Ondine,Kennerley_venus,Humilaria_kennerleyi,62
Jul-29-2014,L_Choked,LC,1,Ondine,Kennerley_venus,Humilaria_kennerleyi,77
Jul-29-2014,L_Choked,LC,1,Ondine,Kennerley_venus,Humilaria_kennerleyi,60
Jul-29-2014,L_Choked,LC,1,Ondine,Kennerley_venus,Humilaria_kennerleyi,74
Jul-29-2014,L_Choked,LC,1,Ondine,Horse_clam,Tresus_capax,100
Jul-29-2014,L_Choked,LC,1,Ondine,Moon_snail,Neverita_lewisii,60
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,49
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,44
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,55
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,57
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,61
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,47
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,49
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,47
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,49
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,56
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,48
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,38
Jul-29-2014,L_Choked,LC,1,Ondine,Macoma,Macoma_sp.,19
Jul-29-2014,L_Choked,LC,1,Ondine,Unid.,Unid.,39
Jul-29-2014,L_Choked,LC,2,Ondine,Kennerley_venus,Humilaria_kennerleyi,79
Jul-29-2014,L_Choked,LC,2,Ondine,Kennerley_venus,Humilaria_kennerleyi,70
Jul-29-2014,L_Choked,LC,2,Ondine,Kennerley_venus,Humilaria_kennerleyi,75
Jul-29-2014,L_Choked,LC,2,Ondine,Macoma,Macoma_sp.,43
Jul-29-2014,L_Choked,LC,2,Ondine,Macoma,Macoma_sp.,45
Jul-29-2014,L_Choked,LC,2,Ondine,Pacific_geoduck,Panopea_generosa,60
Jul-29-2014,L_Choked,LC,2,Ondine,Pacific_geoduck,Panopea_generosa,158
Jul-29-2014,L_Choked,LC,2,Ondine,Northern_abalone,Haliotis_kamtschatkana,90
Jul-29-2014,L_Choked,LC,3,Ross,Macoma,Macoma_sp.,44
Jul-29-2014,L_Choked,LC,3,Ross,Macoma,Macoma_sp.,13
Jul-29-2014,L_Choked,LC,3,Ross,Cockle,Clinocardium_sp.,45
Jul-29-2014,L_Choked,LC,4,Ross,Horse_clam,Tresus_capax,119
Jul-29-2014,L_Choked,LC,4,Ross,Macoma,Macoma_sp.,39
Jul-29-2014,L_Choked,LC,4,Ross,Macoma,Macoma_sp.,42
Jul-29-2014,L_Choked,LC,4,Ross,Macoma,Macoma_sp.,48
Jul-29-2014,L_Choked,LC,4,Ross,Cockle,Clinocardium_sp.,49
Jul-29-2014,L_Choked,LC,4,Ross,Cockle,Clinocardium_sp.,59
Jul-30-2014,Triquet_Bay,TB,1,Ross,Butter_clam,Saxidomus_gigantea,60
Jul-30-2014,Sandspit,SC,1,Ondine,Horse_clam,Tresus_capax,137
Jul-30-2014,Sandspit,SC,1,Ondine,Horse_clam,Tresus_capax,57
Jul-30-2014,Sandspit,SC,1,Ondine,Horse_clam,Tresus_capax,77
Jul-30-2014,Sandspit,SC,1,Ondine,Horse_clam,Tresus_capax,37
Jul-30-2014,Sandspit,SC,1,Ondine,Butter_clam,Saxidomus_gigantea,73
Jul-30-2014,Sandspit,SC,1,Ondine,Littleneck,Leukoma_staminea,35
Jul-30-2014,Sandspit,SC,1,Ondine,Littleneck,Leukoma_staminea,29
Jul-30-2014,Sandspit,SC,2,Ondine,Horse_clam,Tresus_capax,108
Jul-30-2014,Sandspit,SC,2,Ondine,Horse_clam,Tresus_capax,73
Jul-30-2014,Sandspit,SC,2,Ondine,Butter_clam,Saxidomus_gigantea,87
Jul-30-2014,Sandspit,SC,2,Ondine,Butter_clam,Saxidomus_gigantea,61
Jul-30-2014,Sandspit,SC,2,Ondine,Butter_clam,Saxidomus_gigantea,35
Jul-30-2014,Sandspit,SC,2,Ondine,Littleneck,Leukoma_staminea,32
Jul-30-2014,Sandspit,SC,2,Ondine,Littleneck,Leukoma_staminea,37
Jul-30-2014,Sandspit,SC,3,Megan,Pacific_geoduck,Panopea_generosa,132
Jul-30-2014,Sandspit,SC,3,Megan,Butter_clam,Saxidomus_gigantea,54
Jul-30-2014,Sandspit,SC,3,Megan,Kennerley_venus,Humilaria_kennerleyi,64
Jul-30-2014,Sandspit,SC,3,Megan,Horse_clam,Tresus_capax,79
Jul-30-2014,Sandspit,SC,3,Megan,Horse_clam,Tresus_capax,124
Jul-30-2014,Sandspit,SC,4,Megan,Butter_clam,Saxidomus_gigantea,84
Jul-30-2014,Sandspit,SC,4,Megan,Soft-shell_clam,Mya_arenaria,52
Jul-31-2014,Goose_East,GE,1,Nelson,Littleneck,Leukoma_staminea,55
Jul-31-2014,Goose_East,GE,1,Nelson,Littleneck,Leukoma_staminea,46
Jul-31-2014,Goose_East,GE,1,Nelson,Littleneck,Leukoma_staminea,41
Jul-31-2014,Goose_East,GE,1,Nelson,Littleneck,Leukoma_staminea,46
Jul-31-2014,Goose_East,GE,1,Nelson,Littleneck,Leukoma_staminea,45
Jul-31-2014,Goose_East,GE,2,Ondine,Butter_clam,Saxidomus_gigantea,86
Jul-31-2014,Goose_East,GE,2,Ondine,Horse_clam,Tresus_capax,60
Jul-31-2014,Goose_East,GE,2,Ondine,Horse_clam,Tresus_capax,27
Jul-31-2014,Goose_East,GE,3,Ondine,Littleneck,Leukoma_staminea,19
Jul-31-2014,Goose_East,GE,3,Ondine,Littleneck,Leukoma_staminea,50
Jul-31-2014,Goose_East,GE,3,Ondine,Littleneck,Leukoma_staminea,41
Jul-31-2014,Goose_East,GE,3,Ondine,Littleneck,Leukoma_staminea,40
Jul-31-2014,Goose_East,GE,3,Ondine,Littleneck,Leukoma_staminea,43
Jul-31-2014,Goose_East,GE,3,Ondine,Littleneck,Leukoma_staminea,43
Jul-31-2014,Goose_East,GE,4,Nelson,Butter_clam,Saxidomus_gigantea,42
Jul-31-2014,Goose_East,GE,4,Nelson,Littleneck,Leukoma_staminea,42
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,41
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,45
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,49
