date,site,site_id,sample_id,sample,sample_no,length_cm,broken,width_cm,foil_wgt_kg,wet_wgt_kg,final_wet_wgt_kg,dry_wgt_kg,final_dry_wgt_kg
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_07_ZM,zostera,7,187,0,0.8,0.0014,0.026,0.0246,0.0042,0.0028
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_07_Smith,smithora,7,,,,0.0015,0.0191,0.0176,0.0033,0.0018
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_08_ZM,zostera,8,,,,,,,0.0038,0.0017
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_09_ZM,zostera,9,161,1,1,0.0014,0.0171,0.0157,0.0200,0.0186
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_09_Smith,smithora,9,,,,0.0014,0.0183,0.0169,0.0026,0.0012
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_03_ZM,zostera,3,144,0,1,0.002,0.0249,0.0229,0.0048,0.0028
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_03_Smith,smithora,3,,,,0.0015,0.0204,0.0189,0.0029,0.0014
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_06_ZM,zostera,6,160,0,0.8,0.0019,0.0169,0.015,0.0036,0.0017
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_06_Smith,smithora,6,,,,0.0016,0.0122,0.0106,0.0028,0.0012
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_02_ZM,zostera,2,192,0,1,0.0013,0.0245,0.0232,0.0042,0.0029
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_02_Smith,smithora,2,,,,0.0015,0.0183,0.0168,0.0037,0.0022
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_05_ZM,zostera,5,135,1,0.8,0.0015,0.0123,0.0108,0.0029,0.0014
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_05_Smith,smithora,5,,,,0.002,0.0167,0.0147,0.0032,0.0012
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_04_ZM,zostera,4,132,0,0.6,0.0014,0.0075,0.0061,,-0.0014
Jul-09-2014,SEA_Sandspit_2014,SC,EPI_04_Smith,smithora,4,,,,,,,0.0016,0.0001
Jul-11-2014,SEA_Goose_W_2014,GW,EPI_04_ZM,zostera,4,79,,0.4,0.0021,0.0041,0.002,0.0025,0.0004
Jul-11-2014,SEA_Goose_W_2014,GW,EPI_09_ZM,zostera,9,159,,0.4,0.0011,0.0062,0.0051,0.0021,0.0010
Jul-11-2014,SEA_Goose_W_2014,GW,EPI_02_ZM,zostera,2,191,,0.8,0.0029,0.0188,0.0159,0.0053,0.0024
Jul-11-2014,SEA_Goose_W_2014,GW,EPI_07_ZM,zostera,7,157,,0.3,0.0033,0.0083,0.005,0.0040,0.0007
Jul-11-2014,SEA_Goose_W_2014,GW,EPI_01_ZM,zostera,1,125,,0.25,0.0031,0.01,0.0069,0.0042,0.0011
Jul-11-2014,SEA_Goose_W_2014,GW,EPI_08_ZM,zostera,8,128,,0.3,0.0029,0.0131,0.0102,0.0051,0.0022
