Date_Marked,Date_Retrieved,Growth_Days,Site,Site_ID,Bag,Shoot_ID,Sheath_Length,New_leaves,1_new_length,1_new_width,1_old_length,1_old_width,2_new_length,2_new_width,2_old_length,2_old_width,3_new_length,3_new_width,3_old_length,3_old_width,4_new_length,4_new_width,4_old_length,4_old_width,5_new_length,5_new_width,5_old_length,5_old_width,6_new_length,6_new_width,6_old_length,6_old_width,broken,total.new.leaf.extension,total.old.leaf.remaining,rel.growth.rt,biomass.g,biomass.kg,plast.interval,plast.growth.rt
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,1,101,6.2,1,2.6,0.7,0,0,22.8,0.8,55.4,0.8,3,0.9,175,1,0,0,163.2,0.9,,,,,,,,,,28.4,393.6,0.916129032,1.19,0.00119,0.2,0.00595
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,1,102,34.6,0,21.2,0.7,94.2,0.8,1.3,0.8,119.4,0.8,0,0,39.8,0.8,0,0,112.9,1,,,,,,,,,,22.5,366.3,0.130057803,0.67,0.00067,0,NA
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,1,103,34.6,1,10.6,0.8,0,0,17.2,0.8,8,0.8,3.9,0.8,152.2,0.8,0,0,43.8,0.8,0.5,0.08,134.3,1,,,,,,32.2,338.3,0.186127168,0.8,0.0008,0.2,0.004
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,1,104,36,0,23.5,0.8,43.5,0.8,14.2,0.8,5.1,0.9,0.5,0.9,168.2,1,0,0,133.2,1,,,,,,,,,,38.2,350,0.212222222,0.93,0.00093,0,NA
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,1,105,36.5,0,21.6,0.7,59,0.7,6,0.7,137.6,0.8,0,0,130.4,0.8,0,0,34.5,0.8,,,,,,,,,,27.6,361.5,0.151232877,0.54,0.00054,0,NA
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,2,201,30,0,17,0.8,2,1,13.6,0.8,120,1,0,0,89,1,0,0,30,1,,,,,,,,,,30.6,241,0.204,0.4,0.0004,0,NA
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,2,202,36,1,9.4,0.8,0,0,22.8,0.8,92.6,1,1.2,0.8,159,1,0,0,47,1,0,0,119,1,,,,,,33.4,417.6,0.185555556,1.11,0.00111,0.2,0.00555
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,2,203,27,1,3.4,0.6,0,0,18.8,0.8,47,0.8,0,0,97,0.8,0.6,0.6,142,0.8,,,,,,,,,,22.8,286,0.168888889,0.43,0.00043,0.2,0.00215
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,3,301,NA,0,16,NA,2,NA,15.4,NA,40.6,NA,0,NA,147,NA,,,,,,,,,,,,,,31.4,189.6,NA,NA,NA,0,NA
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,3,302,NA,0,18,NA,64,NA,1,NA,68,NA,0,NA,116,NA,,,,,,,,,,,,,,19,248,NA,NA,NA,0,NA
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,3,303,NA,0,22.6,NA,47.4,NA,7.6,NA,43.4,NA,0,NA,114,NA,,,,,,,,,,,,,,30.2,204.8,NA,NA,NA,0,NA
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,3,304,NA,0,23.6,NA,76.4,NA,6.5,NA,78.5,NA,0.8,NA,95.2,NA,0,,106,,,,,,,,,,,30.9,356.1,NA,NA,NA,0,NA
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,3,305,NA,0,0.2,NA,66.8,NA,0.2,NA,28.8,NA,0,NA,84,NA,,,,,,,,,,,,,,0.4,179.6,NA,NA,NA,0,NA
Jul-25-2014,Jul-30-2014,5,Sandspit,SC,3,306,NA,0,24.8,NA,15.2,NA,19,NA,131,NA,0,NA,168,NA,0,,0.4,,,,,,,,,,4,43.8,314.6,NA,NA,NA,0,NA
Jul-25-2014,Jul-30-2014,5,L_Choked,LC,1,101,40,0,26,0.8,38,0.8,15,0.8,93,0.8,0,0,104,1,0,0,116,1,,,,,,,,,,41,351,0.205,0.64,0.00064,0,NA
Jul-25-2014,Jul-30-2014,5,L_Choked,LC,1,102,24,0,19,1,14.6,1,25.8,1.1,95,1.2,64,1.1,168,1.2,0.4,1,75,1,0,0,165,1,,,,,,109.2,517.6,0.91,1.56,0.00156,0,NA
Jul-25-2014,Jul-30-2014,5,L_Choked,LC,1,103,33,0,13,0.8,99,1,1.4,0.8,173,0.9,0,0,99,0.9,,,,,,,,,,,,,,14.4,371,0.087272727,0.68,0.00068,0,NA
Jul-25-2014,Jul-30-2014,5,L_Choked,LC,1,104,16,1,28,0.8,0,0,15.8,0.8,4,0.8,2,0.9,103,0.8,0,0,78,0.8,0,0,14,0.8,,,,,1,45.8,199,0.5725,0.62,0.00062,0.2,0.0031
Jul-25-2014,Jul-30-2014,5,L_Choked,LC,2,201,35.6,1,32,0.8,0,0,22.6,0.9,97,0.9,0.4,1,167.7,1,0,0,168,0.8,0,0,85,0.9,,,,,,55,517.7,0.308988764,1.09,0.00109,0.2,0.00545
Jul-25-2014,Jul-30-2014,5,L_Choked,LC,2,202,41,1,78,0.8,0,0,25.8,1,90.2,1,7.8,1,94.2,1,0,0,163,0.8,0,0,135,0.8,,,,,,111.6,482.4,0.544390244,0.95,0.00095,0.2,0.00475
Jul-25-2014,Jul-30-2014,5,L_Choked,LC,2,203,38.6,0,28.6,0.8,24.6,0.8,20,0.8,160,0.8,9,0.8,88,0.8,0,0,108.4,0.8,,,,,,,,,,57.6,381,0.298445596,0.46,0.00046,0,NA
