date,site,site_id,site_no,sample_id,sample_no,sample_loc,sample_loc2,foil_wgt_kg,wet_wgt_kg,final_wet_wgt_kg,dry_wgt_kg,final_dry_wgt_kg,depth_cor
Jul-31-2014,Goose_E,GE,6,pyllospadix,1,Mid_1,Mid,0.0029,0.0099,0.007,0.004,0.001,
Jul-31-2014,Goose_E,GE,6,zostera,1,Mid_1,Mid,0.0052,0.0781,0.0729,0.0186,0.0134,-1.38
Jul-31-2014,Goose_E,GE,6,zostera,4,Deep_2,Deep,0.0067,0.054,0.0473,0.015,0.008,-1.28
Jul-31-2014,Goose_E,GE,6,unident_red_drift,6,Deep_3,Deep,0.0007,0.0028,0.0021,0.001,0,
Jul-31-2014,Goose_E,GE,6,zostera,6,Deep_3,Deep,0.0045,0.0781,0.0736,0.018,0.013,-1.38
Jul-31-2014,Goose_E,GE,6,unident_brown_drift,8,Mid_2,Mid,0.0018,0.0038,0.002,0.002,0,
Jul-31-2014,Goose_E,GE,6,unident_red_drift,8,Mid_2,Mid,0.0031,0.0088,0.0057,0.004,0.001,
Jul-31-2014,Goose_E,GE,6,desmarestia,9,Deep_1,Deep,0.0029,0.0049,0.002,0.003,0,
Jul-31-2014,Goose_E,GE,6,foliose_red_alga,10,Shallow_1,Shallow,0.0008,0.0011,0.0003,0.009,0.008,
Jul-31-2014,Goose_E,GE,6,pyllospadix,10,Shallow_1,Shallow,0.0018,0.005,0.0032,0.002,0.001,
Jul-31-2014,Goose_E,GE,6,zostera,11,Shallow_3,Shallow,0.0047,0.0803,0.0756,0.016,0.011,-1.08
Jul-31-2014,Goose_E,GE,6,gracilaria,12,Shallow_2,Shallow,0.0032,0.0083,0.0051,0.003,0,
Jul-31-2014,Goose_E,GE,6,zostera,10A,Shallow_1,Shallow,0.0041,0.0636,0.0595,0.012,0.008,-1.58
Jul-31-2014,Goose_E,GE,6,zostera,10B,Shallow_1,Shallow,0.0044,0.0701,0.0657,0.012,0.008,-1.58
Jul-31-2014,Goose_E,GE,6,zostera,10C,Shallow_1,Shallow,0.0045,0.0623,0.0578,0.013,0.008,-1.58
