date,site,site_id,region,otter_dens,site_no,sample,sample2,nc_depth_m,depth_cor,density,epi_bag_no
Jul-31-2014,Goose_E,GE,Goose,High,6,Deep_1,Deep,2.3,-1.18,13,7
Jul-31-2014,Goose_E,GE,Goose,High,6,Deep_2,Deep,2.4,-1.28,12,1
Jul-31-2014,Goose_E,GE,Goose,High,6,Deep_3,Deep,2.5,-1.38,12,2
Jul-31-2014,Goose_E,GE,Goose,High,6,Mid_1,Mid,2.5,-1.38,9,8
Jul-31-2014,Goose_E,GE,Goose,High,6,Mid_2,Mid,2.5,-1.38,11,9
Jul-31-2014,Goose_E,GE,Goose,High,6,Mid_3,Mid,2.5,-1.38,14,6
Jul-31-2014,Goose_E,GE,Goose,High,6,Shallow_1,Shallow,2.7,-1.58,9,4
Jul-31-2014,Goose_E,GE,Goose,High,6,Shallow_2,Shallow,2.6,-1.48,4,5
Jul-31-2014,Goose_E,GE,Goose,High,6,Shallow_3,Shallow,2.2,-1.08,10,NA
Jul-11-2014,Goose_W,GW,Goose,High,5,Deep_1,Deep,2.5,0.7,13,7
Jul-11-2014,Goose_W,GW,Goose,High,5,Deep_2,Deep,3.1,0.1,21,6
Jul-11-2014,Goose_W,GW,Goose,High,5,Deep_3,Deep,2.7,0.5,16,3
Jul-11-2014,Goose_W,GW,Goose,High,5,Mid_1,Mid,2.3,0.9,12,8
Jul-11-2014,Goose_W,GW,Goose,High,5,Mid_2,Mid,2.8,0.4,29,5
Jul-11-2014,Goose_W,GW,Goose,High,5,Mid_3,Mid,2.4,0.8,24,2
Jul-11-2014,Goose_W,GW,Goose,High,5,Shallow_1,Shallow,1.8,1.4,19,9
Jul-11-2014,Goose_W,GW,Goose,High,5,Shallow_2,Shallow,2.1,1.1,24,4
Jul-11-2014,Goose_W,GW,Goose,High,5,Shallow_3,Shallow,2.5,0.7,20,1
Jul-13-2014,L_Choked,CL,Choked,Low,1,Deep_1,Deep,3.4,0.29,13,NA
Jul-13-2014,L_Choked,CL,Choked,Low,1,Deep_2,Deep,2.7,0.99,7,NA
Jul-13-2014,L_Choked,CL,Choked,Low,1,Deep_3,Deep,2.9,0.79,7,NA
Jul-13-2014,L_Choked,CL,Choked,Low,1,Mid_1,Mid,3.1,0.59,10,NA
Jul-13-2014,L_Choked,CL,Choked,Low,1,Mid_2,Mid,2.8,0.89,4,NA
Jul-13-2014,L_Choked,CL,Choked,Low,1,Mid_3,Mid,3.2,0.49,16,NA
Jul-13-2014,L_Choked,CL,Choked,Low,1,Shallow_1,Shallow,3,0.69,9,NA
Jul-13-2014,L_Choked,CL,Choked,Low,1,Shallow_2,Shallow,2.5,1.19,8,NA
