region,annual_site_ID,site,site_id,diver,epi_sample_no,bio_sample_no,density
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Megan,5,NA,5
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Megan,4,NA,6
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Megan,9,NA,3
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Megan,6,NA,5
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Megan,3,NA,7
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Megan,1,NA,3
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Megan,7,NA,7
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Megan,2,NA,6
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Megan,NA,,NA
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Ondine,,6,NA
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Ondine,,8,NA
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Ondine,,10,NA
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Ondine,,9,NA
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Ondine,,13,NA
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Ondine,,7,NA
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Ondine,,1,NA
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Ondine,,11,NA
Choked,SEA_Choked_2014,Choked_Sandspit,CS,Ondine,,NA,NA
Goose,SEA_Goose_W_2014,Goose_West,GW,Megan,,10,NA
Goose,SEA_Goose_W_2014,Goose_West,GW,Megan,,4,NA
Goose,SEA_Goose_W_2014,Goose_West,GW,Megan,,11,NA
Goose,SEA_Goose_W_2014,Goose_West,GW,Megan,,2,NA
Goose,SEA_Goose_W_2014,Goose_West,GW,Megan,,3,NA
Goose,SEA_Goose_W_2014,Goose_West,GW,Megan,,NA,NA
Goose,SEA_Goose_W_2014,Goose_West,GW,Megan,,7,NA
Goose,SEA_Goose_W_2014,Goose_West,GW,Megan,,6,NA
Goose,SEA_Goose_W_2014,Goose_West,GW,Megan,,NA,NA
Goose,SEA_Goose_W_2014,Goose_West,GW,Ondine,9,,19
Goose,SEA_Goose_W_2014,Goose_West,GW,Ondine,4,,24
Goose,SEA_Goose_W_2014,Goose_West,GW,Ondine,1,,20
Goose,SEA_Goose_W_2014,Goose_West,GW,Ondine,8,,12
Goose,SEA_Goose_W_2014,Goose_West,GW,Ondine,5,,29
Goose,SEA_Goose_W_2014,Goose_West,GW,Ondine,2,13,24
Goose,SEA_Goose_W_2014,Goose_West,GW,Ondine,7,,13
Goose,SEA_Goose_W_2014,Goose_West,GW,Ondine,6,,21
Goose,SEA_Goose_W_2014,Goose_West,GW,Ondine,3,5,16
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Megan,,9,NA
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Megan,,8,NA
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Megan,,3,NA
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Megan,,11,NA
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Megan,,2,NA
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Megan,,12,NA
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Megan,,1,NA
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Megan,,4,NA
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Megan,,5,NA
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Ondine,9,,18
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Ondine,2,,17
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Ondine,3,,9
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Ondine,8,,19
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Ondine,5,,16
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Ondine,6,,23
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Ondine,7,,14
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Ondine,1,,19
Triquet,SEA_Triquet_B_2014,Triquet_Bay,TB,Ondine,4,,15
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Megan,,12,NA
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Megan,,6,NA
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Megan,,5,NA
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Megan,,2,NA
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Megan,,4,NA
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Megan,,3,NA
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Megan,,10,NA
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Megan,,7,NA
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Megan,,8,NA
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Ondine,2,,22
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Ondine,8,,13
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Ondine,1,,15
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Ondine,9,,17
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Ondine,5,,17
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Ondine,6,,18
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Ondine,3,,21
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Ondine,4,,12
McMullin,SEA_McMullin_S_2014,McMullin_South,MS,Ondine,7,,10
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Megan,,1,NA
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Megan,,10,NA
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Megan,,6,NA
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Megan,,11,NA
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Megan,,2,NA
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Megan,,9,NA
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Megan,,12,NA
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Megan,,13,NA
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Megan,,4,NA
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Ondine,2,,9
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Ondine,6,,8
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Ondine,4,,9
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Ondine,3,,10
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Ondine,7,,4
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Ondine,9,,16
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Ondine,8,,13
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Ondine,1,,7
Choked,SEA_L_Choked_2014,Choked_Lower,CL,Ondine,5,,7
Goose,SEA_Goose_E_2014,Goose_East,GE,Megan,,10,NA
Goose,SEA_Goose_E_2014,Goose_East,GE,Megan,,12,NA
Goose,SEA_Goose_E_2014,Goose_East,GE,Megan,,11,NA
Goose,SEA_Goose_E_2014,Goose_East,GE,Megan,,1,NA
Goose,SEA_Goose_E_2014,Goose_East,GE,Megan,,8,NA
Goose,SEA_Goose_E_2014,Goose_East,GE,Megan,,7,NA
Goose,SEA_Goose_E_2014,Goose_East,GE,Megan,,9,NA
Goose,SEA_Goose_E_2014,Goose_East,GE,Megan,,4,NA
Goose,SEA_Goose_E_2014,Goose_East,GE,Megan,,6,NA
Goose,SEA_Goose_E_2014,Goose_East,GE,Brent,4,,9
Goose,SEA_Goose_E_2014,Goose_East,GE,Brent,5,,4
Goose,SEA_Goose_E_2014,Goose_East,GE,Brent,bag,,10
Goose,SEA_Goose_E_2014,Goose_East,GE,Brent,8,,9
Goose,SEA_Goose_E_2014,Goose_East,GE,Brent,9,,11
Goose,SEA_Goose_E_2014,Goose_East,GE,Brent,6,,14
Goose,SEA_Goose_E_2014,Goose_East,GE,Brent,7,,13
Goose,SEA_Goose_E_2014,Goose_East,GE,Brent,1,,12
Goose,SEA_Goose_E_2014,Goose_East,GE,Brent,2,,12
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Megan,,9,NA
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Megan,,4,NA
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Megan,,7,NA
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Megan,,6,NA
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Megan,,8,NA
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Megan,,10,NA
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Megan,,12,NA
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Megan,,11,NA
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Megan,,3,NA
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Brent,4,,12
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Brent,5,,9
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Brent,8,,11
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Brent,3,,8
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Brent,6,,8
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Brent,7,,14
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Brent,2,,5
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Brent,9,,2
McMullin,SEA_McMullin_N_2014,McMullin_North,MN,Brent,1,,9
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Megan,,9,NA
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Megan,,5,NA
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Megan,,2,NA
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Megan,,4,NA
