year,date,region,site,distance_m,blade_sample_id,macrophyte,shoot_length_cm,broken,shoot_width_cm,blades,foil_wgt_g,wet_wgt_g,dry_wgt_g,final_dry_g,photo,notes,oven_date,QAQC_date,QAQC_Initials
2015,05-Jul,choked,north pigu,10,10,zostera,32.2,N,0.8,5,1.52,20.72,4.26,2.74,Y,,,,
2015,05-Jul,choked,north pigu,20,38,zostera,44.2,N,1,3,2.1,24.14,5.42,3.32,Y,,,,
2015,01-Aug,choked,inner sandspit,10,112,zostera,64,N,0.9,7,1.3,8.85,2.33,1.03,Y,,,,
2015,29-Jul,choked,lower,20,55,zostera,76,N,0.7,4,0.89,8.03,2.13,1.24,Y,,,,
2015,01-Aug,choked,inner sandspit,20,132,zostera,86,N,1,5,1.55,16.82,3.68,2.13,Y,,,,
2015,07-Jul,choked,inner derek,40,115,zostera,91,N,0.7,5,1.09,8.08,2.01,0.92,UNK,small amount of smithora,,,
2015,01-Aug,choked,inner sandspit,30,191,zostera,95.2,N,0.9,6,1.3,14.73,3.09,1.79,Y,,,,
2015,30-Jul,choked,wolf,40,116,zostera,95.8,B,0.9,6,1.64,15.04,3.59,1.95,Y,,,,
2015,05-Jul,choked,inner sandspit,40,140,zostera,97.2,N,0.6,4,2.05,12.37,3.55,1.5,Y,,,,
2015,06-Jul,choked,inner ang,0,149,zostera,97.2,N,0.6,4,1.66,6.63,2.47,0.81,NA,,,,
2015,05-Jul,choked,inner sandspit,20,148,zostera,97.4,N,1.2,5,2.26,19.46,4.36,2.1,NA,,,,
2015,01-Aug,choked,inner sandspit,30,110,zostera,98,N,0.6,5,1.59,11.49,3.08,1.49,Y,,,,
2015,03-Jul,choked,lower,20,10,zostera,99.4,N,0.6,4,1.49,11.49,2.54,1.05,Y,,,,
2015,01-Aug,choked,north pigu,20,178,zostera,100,N,0.8,5,1.78,10.29,3.07,1.29,Y,,,,
2015,08-Jul,choked,alcove,40,160,zostera,103.2,N,0.9,6,1.66,14.83,3.38,1.72,Y,bit of Ulva,,,
2015,05-Jul,choked,inner sandspit,10,120,zostera,104,Y,1,6,2.03,18.4,4.12,2.09,Y,,,,
2015,30-Jul,choked,wolf,20,21,zostera,105,N,0.8,5,1.54,12.32,3.15,1.61,Y,,,,
2015,30-Jul,choked,wolf,0,204,zostera,105,N,1,5,0.76,16.78,2.95,2.19,Y,,,,
2015,10-Jul,choked,wolf,20,201,zostera,106,N,0.8,6,1.29,12.55,2.82,1.53,Y,,,,
2015,05-Jul,choked,inner sandspit,30,160,zostera,110,N,0.8,3,2.09,14.68,3.79,1.7,Y,,,,
2015,10-Jul,choked,wolf,0,167,zostera,110,N,1,5,1.18,17.9,3.68,2.5,Y,,,,
2015,10-Jul,choked,wolf,40,153,zostera,110,N,1,5,1.21,16.96,3.77,2.56,Y,,,,
2015,07-Jul,choked,inner tristan,0,123,zostera,113.4,N,0.7,4,1.49,15.34,3.54,2.05,UNK,,,,
2015,01-Aug,choked,north pigu,40,168,zostera,114,N,0.8,5,1.85,9.12,2.92,1.07,N,,,,
2015,08-Jul,choked,alcove,0,220,zostera,116.3,N,0.9,7,1.59,19.05,4.4,2.81,Y,little bits of ulva + brown stringy,,,
2015,08-Jul,choked,outer sandspit,0,38,zostera,117.8,N,0.6,4,1.61,8.37,2.67,1.06,,,,,
2015,08-Jul,choked,flat,30,204,zostera,119.8,N,0.8,5,2.22,19.21,5.1,2.88,,,,,
2015,05-Jul,choked,north pigu,40,301,zostera,120,N,0.8,6,1.95,12.68,3.35,1.4,Y,,,,
2015,08-Jul,choked,inner carolyn,30,112,zostera,120.3,N,0.8,5,1.69,16.07,3.98,2.29,,,,,
2015,05-Jul,choked,inner sandspit,0,200,zostera,121,N,10,5,1.88,20.1,4.16,2.28,NA,,,,
